フルーツサラダ	fruits salad
シフォン	chiffon
グラスホッパー	grasshopper
グラスノスチ	glasnost
スーパーステーション	superstation
オートミール	oatmeal
クロース	cloth
クルルホルム	chloroform
ナイス	nice
クイア	queer
カーニバル	carnival
スローガン	slogan
クロロフルオロカーボン	chlorofluorocarbon
イージー	easy
ウオータークレス	watercress
フォー	four
ビヤ	bier
アクチベータ	activator
スローイング	throwing
リコメンド	recommend
シクロスポリン	cyclosporine
バーブシュカ	babushka
レッド	red
ディテクション	detection
アウェー	away
ウエートレス	waitress
リミット	limit
シングルズ	singles
テレホン	telephone
マーメード	mermaid
サント	saint
クリケット	cricket
バヒタット	habitat
タピスリー	tapestry
リップ	lip
コンパス	compass
セレンディピティ	serendipity
メリノー	merino
インシュレータ	insulator
ディレー	delay
クロップ	crop
バーム	balm
サージング	surging
ローヤルティー	royalty
シリアル	cereal
ヒエラルヒー	hierarchy
スクロース	sucrose
ウェアウルフ	werewolf
スカッシュ	squash
アリスマティック	arithmetic
ピーナツ	peanut
リスポンス	response
リコーダー	recorder
ヨーク	yoke
ピック	pick
アウトルック	outlook
コミュニズム	communism
スコアリング	scoring
マールス	mars
ミステイク	mistake
ムビラ	mbira
レスビアン	lesbian
インシデント	incident
ノクトベジョン	noctovision
ポプリン	poplin
ファヴェラ	favela
データー	data
カリカチュア	caricature
ウィスカー	whisker
イヤーマフ	earmuff
クリップ	clip
ストップオーバー	stopover
ピース	peace
ナッシング	nothing
ステディ	steady
アクースティック	acoustic
クィンテット	quintet
ウオッチング	watching
キッズ	kids
モザイク	mosaic
モップ	mop
イラストレータ	illustrator
ウィザード	wizard
ピアリング	peering
バーチュ	virtue
オーサー	author
ヴォータン	wotan
コーパス	corpus
ママレード	marmalade
スタッキング	stacking
コラプス	collapse
マイン	mine
モンゴリアン	mongolian
グラウンド	ground
アビタ	arbiter
タイムテーブル	timetable
リーサス	rhesus
エンプロイヤー	employer
ムンプス	mumps
ウエスト	waist
マストドン	mastodon
ナギ	nagi
ロール	roll
カタパルト	catapult
エアロゾル	aerosol
セルティック	celtic
クランプ	clamp
プロディジー	prodigy
フィードバック	feedback
パブリッシュ	publishing
トレッスル	trestle
ブリーダー	breeder
エーカー	acre
クランクシャフト	crankshaft
フルーティスト	flutist
バンディクート	bandicoot
エゴチスト	egotist
トライ	try
マカダム	macadam
インフィニット	infinite
ミクサー	mixer
ウエーティング	waiting
ソースパン	saucepan
アームレスト	armrest
レディ	lady
アクワイア	acquire
クォータ	quarter
アフターマーケット	aftermarket
アクセシビリティ	accessibility
ブリュッセル	bruxelles
マジシャン	magician
ベビ	baby
ポリアンドリー	polyandry
インテグレーテット	integrated
フランジ	flange
シンシア	sincere
プレトリア	pretoria
ボトム	bottom
ユーゴスラヴィア	yugoslavia
レピュテーション	reputation
プロダクツ	products
デコンストラクション	deconstruction
パリジャン	parisian
サブスティチューション	substitution
フィギア	figure
コスメチック	cosmetic
ファクション	faction
キルティング	quilting
ボードビル	vaudeville
ハーフウェイ	halfway
チェアー	chair
キャビティ	cavity
コレクタ	collector
インタビュ	interview
エアー	air
オスカー	oscar
ストロンチウム	strontium
オールディーズ	oldies
タラップ	trap
シノニム	synonym
ミシガン	michigan
プロシーデング	proceeding
ノーブル	noble
ピンチ	pinch
ターゲティング	targeting
スキュー	skew
コレクション	collection
ラタン	rattan
オブリゲーション	obligation
サルサ	salsa
カフェテリア	cafeteria
アイ	eye
トリックスター	trickster
グラスロッド	glassrod
クローン	clone
ラリー	rally
コーチゾン	cortisone
ドリブン	driven
ヴァリエティ	variety
アジドチミジン	azidothymidine
グワカモーレ	guacamole
ボイス	voice
フィージビリティ	feasibility
ロマネスク	romanesque
ヒップ	hip
ブランク	blank
ダイアド	dyad
セレス	ceres
ディスラプト	disrupt
ゴスプラン	gosplan
プラザ	plaza
レジストリー	registry
メサイア	messiah
エクスキューズ	excuse
カービン	carbine
キャンディデート	candidate
サイマルキャスト	simulcast
ボーノ	buono
ノルマ	norma
サーカス	circus
リムーバー	remover
インセスト	incest
オブジェクト	object
バッテリ	battery
ドレッシー	dressy
クロスカントリー	cross-country
エターニティー	eternity
チョイス	choice
ストリング	string
デッドライン	deadline
チョーク	chalk
シンク	sync
スミアー	smear
ミニバス	minibus
トウェイン	twain
エイカー	acre
ソル	sol
マナ	manna
ファブリック	fabric
シュタイン	stein
アクチュアリティー	actuality
オリオン	orion
デー	day
エイジェンシー	agency
エマルジオン	emulsion
ラフ	ruff
テニス	tennis
エフェクタ	effector
コーラン	koran
ポリシ	policy
レビュアー	reviewer
カール	curl
アストラカン	astrakhan
テグシガルパ	tegucigalpa
チェス	chess
ボツワナ	botswana
リフレーション	reflation
イデアリズム	idealism
チャージャー	charger
リニュー	renew
チェッカー	checker
ブルネイ	brunei
チェックメート	checkmate
メーン	main
セパレーター	separator
ナチス	nazis
マラウイ	malawi
バンド	band
イーピーロム	eprom
シミー	shimmy
ブッキー	bookie
モルフィン	morphine
ハンター	hunter
ヒスタミン	histamine
ストローブ	strobe
メシア	messiah
エディプス	oedipus
フォーティ	forty
ジャグラー	juggler
シュガー	sugar
セルロイド	celluloid
フロラ	flora
エンファサイズ	emphasize
アセンブリー	assembly
スケーラー	scalar
セエター	sweater
サーバー	server
メタボリック	metabolic
ヒーター	heater
スウィーツ	sweets
バイオニック	bionic
サンクチュアリー	sanctuary
タイピスト	typist
ハイディング	hiding
ファンダメンタリスト	fundamentalist
アイシェード	eyeshade
マドレーヌ	madeleine
リスポンシブ	responsive
エクソシスト	exorcist
オーバーウエート	overweight
サバイバル	survival
ショー	show
アレイ	alley
プラットフォーム	platform
ローダー	loader
アクウィジション	acquisition
スケーティング	skating
カルチャー	culture
リテーラー	retailer
ウオーク	walk
ルズム	rhythm
メスティゾ	mestizo
ウイスカー	whisker
チェリスト	cellist
ドラッグ	drug
スタイラス	stylus
ルックス	lux
アーチステック	artistic
ゼブラ	zebra
マニュファクチュラ	manufacturer
ファセット	facet
ブーツ	boots
ダンパ	damper
コンポジション	composition
ツイスター	twister
カーネージョン	carnation
リラクセーション	relaxation
ドロマイト	dolomite
アフラトキシン	aflatoxin
ディア	deer
ストーレジ	storage
ライセンサー	licenser
メディアン	median
ホエール	whale
リプレッション	repression
バイオフィードバック	biofeedback
プロダクティビティー	productivity
プレゼンツ	presence
レミニセンス	reminiscence
ヒューマノイド	humanoid
フットワーク	footwork
ジャッジメント	judgement
ウォッシャー	washer
ミスター	mister
サブスクライバ	subscriber
ホイール	wheel
シャットアウト	shutout
イーマックス	emacs
プログラマー	programmer
ブティック	boutique
マリガン	mulligan
フォニー	phony
コンピレーション	compilation
スヌーズ	snooze
トゥモロー	tomorrow
コンセプト	concept
シープ	sheep
オーガスト	august
チューブ	tube
ダンディー	dandy
テフ	taff
ウインカ	winker
ワイパ	wiper
ドラクマ	drachma
ライトウエート	lightweight
オリーヴ	olive
オキシダーゼ	oxidase
マーカンヒリズム	mercantilism
ブルドーザー	bulldozer
ウォーター	water
タイプフェース	typeface
ホブ	hob
ストライク	strike
ナイティンゲイル	nightingale
カップラー	coupler
マスター	master
オーファン	orphan
マガレート	marguerite
スプロール	sprawl
フェリー	ferry
ハヴァナ	havana
テタヌス	tetanus
デビュウ	debut
ツール	tool
フモール	humor
レーダー	radar
ハブ	hub
ノンバンク	nonbank
アルバイター	arbeiter
マージ	merge
フラッディング	flooding
プリンシプル	principle
インサイト	insight
メラノーマ	melanoma
パッサージュ	passage
アパルトマン	apartment
ディジタライズ	digitize
インクライン	incline
デベロッパー	developer
ガストロノミック	gastronomic
アイディル	idyll
ビギン	begin
ジル	gill
ビターズ	bitters
